"Search1","Tìm kiếm"
"Time start bid must be greater than time start register!","Thời gian bắt đầu trả giá phải lớn hơn thời gian bắt đầu đăng ký đấu giá!"
"Time end bid must be greater than time start bid!","Thời gian kết thúc trả giá phải lớn hơn thời gian bắt đầu trả giá!"
"Time end bid must be greater than time wait attendence!","Thời gian kết thúc trả giá phải lớn hơn thời gian chờ điểm danh!"
"Time end bid must be greater than time start register!","Thời gian kết thúc trả giá phải lớn hơn thời gian bắt đầu đăng ký đấu giá!"
"Time end bid must be greater than time end register!","Thời gian kết thúc trả giá phải lớn hơn thời gian kết thúc đăng ký đấu giá!"
"Time wait attendence must be greater than time end register!","Thời gian chờ điểm danh phải lớn hơn thời gian kết thúc đăng ký đấu giá!"
"End auction","Kết thúc đấu giá"
"Going to happen","Sắp xảy ra"
"Please enter full name!","Vui lòng nhập họ và tên!"
"Please enter email!","Vui lòng nhập email!"
"Please enter product name!","Vui lòng nhập tên sản phẩm!"
"Please enter sku!","Vui lòng nhập mã sản phẩm!"
"Please enter price!","Vui lòng nhập giá bán sản phẩm!"
"Please enter step price!","Vui lòng nhập bước giá!"
"Please enter address!","Vui lòng nhập địa chỉ!"
"Please enter state!","Vui lòng nhập tỉnh, thành phố!"
"Please enter district!","Vui lòng nhập tên huyện!"
"Please enter commune!","Vui lòng nhập tên xã!"
"Please enter description!","Vui lòng nhập mô tả!"
"Enter product name","Nhập tên tài sản"
"You are registed!","Bạn đã đăng ký!"
"Enter auction secretary name","Nhập họ và tên thư kí phiên đấu giá"
"Enter representative participating in the auction","Nhập họ và tên thư kí đại diện người tham gia đấu giá"
"Enter auctioneer","Nhập họ và tên đấu giá viên"
"Setup time must be greater than current time!","Thời gian thiết lập phải lớn hơn thời gian hiện tại!"
"View image","Hình ảnh"
"View map","Xem bản đồ"
"You have been removed from the auction!","Bạn đã bị xóa ra khỏi phiên đấu giá!"
"Are you sure want to convert from active to not active?","Bạn có chắc muốn đổi trạng thái từ kích hoạt sang không kích hoạt?"
"Are you sure want to convert from not active to  active?","Bạn có chắc muốn đổi trạng thái từ không kích hoạt sang kích hoạt?"
"Change status success","Đổi trạng thái phiên đấu giá thành công."
"Cannot save because deposit price percent greater than 20!","Không thể lưu do phần trăm giá đặt trước lớn hơn 20!"
"You saved the auction session.","Bạn đã lưu phiên đấu giá thành công."
"Save the defective product. Please re-enter","Lưu sản phẩm bị lỗi. Vui lòng thao tác lại"
"You have successfully confirmed the auction winner.","Bạn đã xác nhận người chiến thắng phiên đấu giá thành công."
"Auction End","Kết thúc đấu giá"
"Change status success","Chỉnh sửa trạng thái thành công."
"You saved the auction session.","Lưu thông tin phiên đấu giá thành công."
